1;Concepteurs  Développeurs de Sites Interne;http://cdsi.afpa.unicaen.fr/cdsi;Site développé par les stagiaires CDSI5 du centre de Caen / Ifs dans le cadre de leur formation;tsig.cdmia@afpa.unicaen.fr;actualité;08/11/2006;oui
2;Site de la FFVL;www.senechal.christian14@orange.;Deuxième site créé par Christian;http://www.ffvl.fr;sports;08/11/2006;oui
3;Site de démonstration de pages ASP;littoclime@littoclime.com;Site très intéressant développé par Christian SENECHAL;http://cpq2/advworks;divers;08/11/2006;oui
4;Site météorologique;littoclime@littoclime.com;Site permettant d\'avoir la météo locale (Entreprise Caennaise);http://www.littoclime.com;divers;08/11/2006;oui
5;Blues en délire;www.aaaaaa.com;Blues en délire (Site);http://blues-en-delire.com;musique;08/11/2006;oui
6;Kaissa mange un Kangourou;www.renault.fr;Nouveau prototype;http://kangoo.renault.net;divers;08/11/2006;oui
7;L\'actualité du cinéma;www.canal.fr;Tout sur le ciné;http://cinepremière.lycos.fr;cinéma;08/11/2006;oui
8;L\'actualité sportive;www.tf1.fr;Tout sur le sport;www.sport.fr;sports;08/11/2006;oui
9;La cuisine Thai en Norvège;www.coffe.fr;Que c\'est bon la bouffe;http://bouffethai.net;divers;08/11/2006;oui
10;La grosse bouffe à mémé;www.grossebouffeameme.com;Pas de commentaires;http://grossebouffe.fr;divers;08/11/2006;oui
11;Le jounal de la bourse;www.boursorama.com;Tout sur le pognon;http://labourse_news.com;divers;08/11/2006;oui
12;Moteur de recherche;www.recherche.fr;Pour rechercher quelque chose;http://google.fr;divers;08/11/2006;oui
13;Seigneur des anneaux;www.film.fr;Flim fantastique;http://lordofhterings.com;cinéma;08/11/2006;oui
